data,variable,ae,np
2021-05-01,tmax,25.7,28.51
2021-05-01,prec,0,0.03
2021-05-02,tmed,20.4833333333333,22.01
2021-05-02,ur,65.25,63.81
2021-05-02,tmin,15.5,14.45
2021-05-02,tmax,28,30.29
2021-05-02,prec,0,1.18
2021-05-03,tmed,22.8125,23.29
2021-05-03,ur,63.7083333333333,59.31
2021-05-03,tmin,18.6,15.97
2021-05-03,tmax,29.7,32.66
2021-05-03,prec,0,0.07
2021-05-04,tmed,22.5083333333333,24.01
2021-05-04,ur,64.4583333333333,60.25
2021-05-04,tmin,16.1,16.02
2021-05-04,tmax,30.2,33.52
2021-05-04,prec,0,0.32
2021-05-05,tmed,19.9333333333333,20.34
2021-05-05,ur,83.8333333333333,80.56
2021-05-05,tmin,16,14.6
2021-05-05,tmax,23.3,28.52
2021-05-05,prec,9.4,8.12
2021-05-06,tmed,13.4916666666667,13.76
2021-05-06,ur,92.75,84.75
2021-05-06,tmin,11,10.11
2021-05-06,tmax,16.2,16.61
2021-05-06,prec,9.4,11.29
2021-05-07,tmed,10.404347826087,12.37
2021-05-07,ur,79.2173913043478,71.12
2021-05-07,tmin,5.5,7.09
2021-05-07,tmax,16.9,20.25
2021-05-07,prec,0,0.24
2021-05-08,tmed,12.7875,14.56
2021-05-08,ur,74.375,74.31
2021-05-08,tmin,8.1,8.1
2021-05-08,tmax,20.5,23.2
2021-05-08,prec,0,2.16
2021-05-09,tmed,16.5166666666667,17.04
2021-05-09,ur,67.9166666666667,71.38
2021-05-09,tmin,11.4,10.8
2021-05-09,tmax,24.1,25.62
2021-05-09,prec,0,0.4
2021-05-10,tmed,18.2791666666667,18.88
2021-05-10,ur,69.5416666666667,72.5
2021-05-10,tmin,12.9,11.94
2021-05-10,tmax,25.6,27.62
2021-05-10,prec,0,0.25
2021-05-11,tmed,15.65,15.65
2021-05-11,ur,92.1666666666667,89.44
2021-05-11,tmin,13.2,11.97
2021-05-11,tmax,18.2,19.09
2021-05-11,prec,15.4,13.12
2021-05-12,tmed,12.8708333333333,13.69
2021-05-12,ur,83.875,73.31
2021-05-12,tmin,11,8.4
2021-05-12,tmax,17.4,21.33
2021-05-12,prec,5,0.59
2021-05-13,tmed,11.55,13.16
2021-05-13,ur,77,74.31
2021-05-13,tmin,6.9,6.52
2021-05-13,tmax,18.6,21.72
2021-05-13,prec,0,0.71
2021-05-14,tmed,14.5916666666667,13.24
2021-05-14,ur,75.625,82.94
2021-05-14,tmin,9.5,9.34
2021-05-14,tmax,21.3,19.8
2021-05-14,prec,0,0.19
2021-05-15,tmed,14.5208333333333,15.34
2021-05-15,ur,79.9166666666667,74.06
2021-05-15,tmin,8.6,8.5
2021-05-15,tmax,21.1,23.56
2021-05-15,prec,0,0.15
2021-05-16,tmed,15.0583333333333,16.64
2021-05-16,ur,79.0416666666667,76.69
2021-05-16,tmin,9.2,9.73
2021-05-16,tmax,22.7,24.3
2021-05-16,prec,0,0.03
2021-05-17,tmed,16.2041666666667,16.44
2021-05-17,ur,73.0833333333333,76.5
2021-05-17,tmin,12.3,10.91
2021-05-17,tmax,22.8,22.54
2021-05-17,prec,0,0.04
2021-05-18,tmed,14.65,14.19
2021-05-18,ur,75.25,73.19
2021-05-18,tmin,8.7,8.13
2021-05-18,tmax,21.2,22.12
2021-05-18,prec,0,0.08
2021-05-19,tmed,13.9541666666667,15.44
2021-05-19,ur,75.8333333333333,62.38
2021-05-19,tmin,6.8,6.8
2021-05-19,tmax,22.9,24.57
2021-05-19,prec,0,0.03
2021-05-20,tmed,16.4583333333333,18.37
2021-05-20,ur,65,63.69
2021-05-20,tmin,11.6,10.64
2021-05-20,tmax,25.1,28.05
